S No.,Title,Decisions,Words,parsed_decisions,parse_issue,invalid_labels,num_invalid_labels,title_norm,decisions_norm,num_aspects,label_signature,title_key
1253,IOT Infrastructure & Energy Services raises Rs 3000 crore from domestic investors,"{""IOT Infrastructure & Energy Services"": ""neutral""}",12,{'IOT Infrastructure & Energy Services': 'neutral'},,[],0,IOT Infrastructure & Energy Services raises Rs 3000 crore from domestic investors,{'IOT Infrastructure & Energy Services': 'neutral'},1,neutral,iot infrastructure & energy services raises rs 3000 crore from domestic investors
1254,IOT Infrastructure & Energy Services raises Rs 3000 crore from domestic investors,"{""IOT Infrastructure & Energy Services"": ""neutral""}",12,{'IOT Infrastructure & Energy Services': 'neutral'},,[],0,IOT Infrastructure & Energy Services raises Rs 3000 crore from domestic investors,{'IOT Infrastructure & Energy Services': 'neutral'},1,neutral,iot infrastructure & energy services raises rs 3000 crore from domestic investors
1292,Symantec appoints Adrian Jones as Asia Pacific and Japan senior vice president,"{""Symantec"": ""neutral""}",12,{'Symantec': 'neutral'},,[],0,Symantec appoints Adrian Jones as Asia Pacific and Japan senior vice president,{'Symantec': 'neutral'},1,neutral,symantec appoints adrian jones as asia pacific and japan senior vice president
1302,Waiting to see initiatives from the government for PSU banks: Pramod Gubbi,"{""PSU banks"": ""neutral""}",12,{'PSU banks': 'neutral'},,[],0,Waiting to see initiatives from the government for PSU banks: Pramod Gubbi,{'PSU banks': 'neutral'},1,neutral,waiting to see initiatives from the government for psu banks: pramod gubbi
1330,H Kumar takes over as Managing Director of Mangalore Refinery and Petrochemicals Ltd,"{""Mangalore Refinery and Petrochemicals Ltd"": ""neutral""}",13,{'Mangalore Refinery and Petrochemicals Ltd': 'neutral'},,[],0,H Kumar takes over as Managing Director of Mangalore Refinery and Petrochemicals Ltd,{'Mangalore Refinery and Petrochemicals Ltd': 'neutral'},1,neutral,h kumar takes over as managing director of mangalore refinery and petrochemicals ltd
1346,Max Life posts PAT at Rs 326 cr for Apr-Dec period in FY14,"{""Max Life"": ""neutral""}",13,{'Max Life': 'neutral'},,[],0,Max Life posts PAT at Rs 326 cr for Apr-Dec period in FY14,{'Max Life': 'neutral'},1,neutral,max life posts pat at rs 326 cr for apr-dec period in fy14
1414,"Outlook for auto stocks a mixed bag at the moment: Rajat Rajgarhia, Motilal Oswal Securities","{""Motilal Oswal Securities"": ""neutral""}",15,{'Motilal Oswal Securities': 'neutral'},,[],0,"Outlook for auto stocks a mixed bag at the moment: Rajat Rajgarhia, Motilal Oswal Securities",{'Motilal Oswal Securities': 'neutral'},1,neutral,"outlook for auto stocks a mixed bag at the moment: rajat rajgarhia, motilal oswal securities"
1551,"Focus turns to US outlook, Russian stocks stabilise","{""Russian stocks"": ""positive"", ""US"": ""positive""}",8,"{'Russian stocks': 'positive', 'US': 'positive'}",,[],0,"Focus turns to US outlook, Russian stocks stabilise","{'Russian stocks': 'positive', 'US': 'positive'}",2,positive,"focus turns to us outlook, russian stocks stabilise"
1552,"Focus turns to US outlook, Russian stocks stabilise","{""Russian stocks"": ""positive"", ""US"": ""positive""}",8,"{'Russian stocks': 'positive', 'US': 'positive'}",,[],0,"Focus turns to US outlook, Russian stocks stabilise","{'Russian stocks': 'positive', 'US': 'positive'}",2,positive,"focus turns to us outlook, russian stocks stabilise"
1612,Huge activity in Nifty December series surprises market,"{""Nifty"": ""positive""}",8,{'Nifty': 'positive'},,[],0,Huge activity in Nifty December series surprises market,{'Nifty': 'positive'},1,positive,huge activity in nifty december series surprises market
1632,Mid-cap stocks attract fund managers this season,"{""Mid-cap stocks"": ""positive""}",7,{'Mid-cap stocks': 'positive'},,[],0,Mid-cap stocks attract fund managers this season,{'Mid-cap stocks': 'positive'},1,positive,mid-cap stocks attract fund managers this season
1739,Flight to safety keeps gold near one-month high,"{""gold"": ""positive""}",8,{'gold': 'positive'},,[],0,Flight to safety keeps gold near one-month high,{'gold': 'positive'},1,positive,flight to safety keeps gold near one-month high
1791,Deepak Fertilisers bets on chemicals to deliver growth,"{""Deepak Fertilisers"": ""positive""}",8,{'Deepak Fertilisers': 'positive'},,[],0,Deepak Fertilisers bets on chemicals to deliver growth,{'Deepak Fertilisers': 'positive'},1,positive,deepak fertilisers bets on chemicals to deliver growth
2022,Its time to take banking sector funds into account,"{""banking sector"": ""positive""}",9,{'banking sector': 'positive'},,[],0,Its time to take banking sector funds into account,{'banking sector': 'positive'},1,positive,its time to take banking sector funds into account
2104,Rupiah scales two-month high after Jokowi wins presidential election,"{""Rupiah"": ""positive""}",9,{'Rupiah': 'positive'},,[],0,Rupiah scales two-month high after Jokowi wins presidential election,{'Rupiah': 'positive'},1,positive,rupiah scales two-month high after jokowi wins presidential election
2119,Specialty chemicals give tyre maker SRF a power spin,"{""SRF"": ""positive"", ""Specialty chemicals"": ""neutral""}",9,"{'SRF': 'positive', 'Specialty chemicals': 'neutral'}",,[],0,Specialty chemicals give tyre maker SRF a power spin,"{'SRF': 'positive', 'Specialty chemicals': 'neutral'}",2,neutral+positive,specialty chemicals give tyre maker srf a power spin
2120,Specialty chemicals give tyre maker SRF a power spin,"{""SRF"": ""positive"", ""Specialty chemicals"": ""neutral""}",9,"{'SRF': 'positive', 'Specialty chemicals': 'neutral'}",,[],0,Specialty chemicals give tyre maker SRF a power spin,"{'SRF': 'positive', 'Specialty chemicals': 'neutral'}",2,neutral+positive,specialty chemicals give tyre maker srf a power spin
2147,US stocks: S&P hits record; focus shifts to payrolls,"{""S&P"": ""positive""}",9,{'S&P': 'positive'},,[],0,US stocks: S&P hits record; focus shifts to payrolls,{'S&P': 'positive'},1,positive,us stocks: s&p hits record; focus shifts to payrolls
2626,"Midcaps important part of our portfolio: Kunj Bansal, Centrum Wealth Management","{""Midcaps"": ""positive"", ""Centrum Wealth Management"": ""neutral""}",11,"{'Midcaps': 'positive', 'Centrum Wealth Management': 'neutral'}",,[],0,"Midcaps important part of our portfolio: Kunj Bansal, Centrum Wealth Management","{'Midcaps': 'positive', 'Centrum Wealth Management': 'neutral'}",2,neutral+positive,"midcaps important part of our portfolio: kunj bansal, centrum wealth management"
2704,Sobha Developers: A realty counter that may give over 45% returns,"{""Sobha Developers"": ""positive""}",11,{'Sobha Developers': 'positive'},,[],0,Sobha Developers: A realty counter that may give over 45% returns,{'Sobha Developers': 'positive'},1,positive,sobha developers: a realty counter that may give over 45% returns
3291,Four reasons Sensex tanked over 400 points intraday,"{""Sensex"": ""negative""}",8,{'Sensex': 'negative'},,[],0,Four reasons Sensex tanked over 400 points intraday,{'Sensex': 'negative'},1,negative,four reasons sensex tanked over 400 points intraday
3292,Four reasons Sensex tanked over 400 points intraday,"{""Sensex"": ""negative""}",8,{'Sensex': 'negative'},,[],0,Four reasons Sensex tanked over 400 points intraday,{'Sensex': 'negative'},1,negative,four reasons sensex tanked over 400 points intraday
3299,Securities Appellate Tribunal disposes of Sahara appeal,"{""Sahara"": ""negative"", ""Securities Appellate Tribunal"": ""neutral""}",7,"{'Sahara': 'negative', 'Securities Appellate Tribunal': 'neutral'}",,[],0,Securities Appellate Tribunal disposes of Sahara appeal,"{'Sahara': 'negative', 'Securities Appellate Tribunal': 'neutral'}",2,negative+neutral,securities appellate tribunal disposes of sahara appeal
3488,"Edible oils weak on global cues, stockists selling","{""Edible oils"": ""negative""}",8,{'Edible oils': 'negative'},,[],0,"Edible oils weak on global cues, stockists selling",{'Edible oils': 'negative'},1,negative,"edible oils weak on global cues, stockists selling"
3489,"Edible oils weak on global cues, stockists selling","{""Edible oils"": ""negative""}",8,{'Edible oils': 'negative'},,[],0,"Edible oils weak on global cues, stockists selling",{'Edible oils': 'negative'},1,negative,"edible oils weak on global cues, stockists selling"
3499,Crude oil futures down on weak Asian cues,"{""Crude oil futures"": ""negative""}",8,{'Crude oil futures': 'negative'},,[],0,Crude oil futures down on weak Asian cues,{'Crude oil futures': 'negative'},1,negative,crude oil futures down on weak asian cues
3533,Cashew prices decline on subdued demand,"{""Cashew"": ""negative""}",6,{'Cashew': 'negative'},,[],0,Cashew prices decline on subdued demand,{'Cashew': 'negative'},1,negative,cashew prices decline on subdued demand
3534,Cashew prices decline on subdued demand,"{""Cashew"": ""negative""}",6,{'Cashew': 'negative'},,[],0,Cashew prices decline on subdued demand,{'Cashew': 'negative'},1,negative,cashew prices decline on subdued demand
3600,NCDEX hikes transaction charges on agri-commodities,"{""agri-commodities"": ""negative"", ""NCDEX"": ""neutral""}",6,"{'agri-commodities': 'negative', 'NCDEX': 'neutral'}",,[],0,NCDEX hikes transaction charges on agri-commodities,"{'agri-commodities': 'negative', 'NCDEX': 'neutral'}",2,negative+neutral,ncdex hikes transaction charges on agri-commodities
3815,"PSUs languishing in valuations, but offer pockets of hope","{""PSUs"": ""negative""}",9,{'PSUs': 'negative'},,[],0,"PSUs languishing in valuations, but offer pockets of hope",{'PSUs': 'negative'},1,negative,"psus languishing in valuations, but offer pockets of hope"
3960,Empee Distilleries reports Q3 net loss at Rs 2.47 crore,"{""Empee Distilleries"": ""neutral""}",10,{'Empee Distilleries': 'neutral'},,[],0,Empee Distilleries reports Q3 net loss at Rs 2.47 crore,{'Empee Distilleries': 'neutral'},1,neutral,empee distilleries reports q3 net loss at rs 2.47 crore
4262,Nifty50 in a no-trade zone due to holiday-truncated week: Sandeep Wagle,"{""Nifty50"": ""negative""}",11,{'Nifty50': 'negative'},,[],0,Nifty50 in a no-trade zone due to holiday-truncated week: Sandeep Wagle,{'Nifty50': 'negative'},1,negative,nifty50 in a no-trade zone due to holiday-truncated week: sandeep wagle
4526,Waiting to see initiatives from the government for PSU banks: Pramod Gubbi,"{""PSU banks"": ""neutral""}",12,{'PSU banks': 'neutral'},,[],0,Waiting to see initiatives from the government for PSU banks: Pramod Gubbi,{'PSU banks': 'neutral'},1,neutral,waiting to see initiatives from the government for psu banks: pramod gubbi
4528,"With investors steering clear, infra bonds by banks may see early death","{""banks"": ""negative""}",12,{'banks': 'negative'},,[],0,"With investors steering clear, infra bonds by banks may see early death",{'banks': 'negative'},1,negative,"with investors steering clear, infra bonds by banks may see early death"
5036,"Gold holds below 2-week high on robust dollar, US economy","{""Gold"": ""positive"", ""dollar"": ""positive""}",10,"{'Gold': 'positive', 'dollar': 'positive'}",,[],0,"Gold holds below 2-week high on robust dollar, US economy","{'Gold': 'positive', 'dollar': 'positive'}",2,positive,"gold holds below 2-week high on robust dollar, us economy"
5085,"Gloomy French data hits European stocks, Iraq keeps oil high","{""oil"": ""positive"", ""European stocks"": ""negative""}",10,"{'oil': 'positive', 'European stocks': 'negative'}",,[],0,"Gloomy French data hits European stocks, Iraq keeps oil high","{'oil': 'positive', 'European stocks': 'negative'}",2,negative+positive,"gloomy french data hits european stocks, iraq keeps oil high"
5107,"Overweight on PSU banks, like private banks more: S Naren","{""PSU banks"": ""positive"", ""private banks"": ""positive""}",10,"{'PSU banks': 'positive', 'private banks': 'positive'}",,[],0,"Overweight on PSU banks, like private banks more: S Naren","{'PSU banks': 'positive', 'private banks': 'positive'}",2,positive,"overweight on psu banks, like private banks more: s naren"
5108,"Overweight on PSU banks, like private banks more: S Naren","{""PSU banks"": ""positive"", ""private banks"": ""positive""}",10,"{'PSU banks': 'positive', 'private banks': 'positive'}",,[],0,"Overweight on PSU banks, like private banks more: S Naren","{'PSU banks': 'positive', 'private banks': 'positive'}",2,positive,"overweight on psu banks, like private banks more: s naren"
5255,"Gold extends gains on festive buying, weak rupee","{""Gold"": ""positive"", ""rupee"": ""negative""}",8,"{'Gold': 'positive', 'rupee': 'negative'}",,[],0,"Gold extends gains on festive buying, weak rupee","{'Gold': 'positive', 'rupee': 'negative'}",2,negative+positive,"gold extends gains on festive buying, weak rupee"
5256,"Gold extends gains on festive buying, weak rupee","{""Gold"": ""positive"", ""rupee"": ""negative""}",8,"{'Gold': 'positive', 'rupee': 'negative'}",,[],0,"Gold extends gains on festive buying, weak rupee","{'Gold': 'positive', 'rupee': 'negative'}",2,negative+positive,"gold extends gains on festive buying, weak rupee"
5293,"Forex, stocks rebound as Ukraine concerns less acute","{""Forex"": ""positive"", ""stocks"": ""positive""}",8,"{'Forex': 'positive', 'stocks': 'positive'}",,[],0,"Forex, stocks rebound as Ukraine concerns less acute","{'Forex': 'positive', 'stocks': 'positive'}",2,positive,"forex, stocks rebound as ukraine concerns less acute"
5426,Madras Stock Exchange to close doors?,"{""Madras Stock Exchange"": ""neutral""}",6,{'Madras Stock Exchange': 'neutral'},,[],0,Madras Stock Exchange to close doors?,{'Madras Stock Exchange': 'neutral'},1,neutral,madras stock exchange to close doors?
5430,Jyothy Laboratories rejigs top management,"{""Jyothy Laboratories"": ""neutral""}",5,{'Jyothy Laboratories': 'neutral'},,[],0,Jyothy Laboratories rejigs top management,{'Jyothy Laboratories': 'neutral'},1,neutral,jyothy laboratories rejigs top management
5512,Commexes extended trade hours hit a roadblock,"{""Commexes"": ""neutral""}",7,{'Commexes': 'neutral'},,[],0,Commexes extended trade hours hit a roadblock,{'Commexes': 'neutral'},1,neutral,commexes extended trade hours hit a roadblock
5524,Euronext names new head of post-trade business,"{""Euronext"": ""neutral""}",7,{'Euronext': 'neutral'},,[],0,Euronext names new head of post-trade business,{'Euronext': 'neutral'},1,neutral,euronext names new head of post-trade business
5555,Important support for EUR/USD lies at $1.3588/86,"{""EUR/USD"": ""neutral""}",7,{'EUR/USD': 'neutral'},,[],0,Important support for EUR/USD lies at $1.3588/86,{'EUR/USD': 'neutral'},1,neutral,important support for eur/usd lies at $1.3588/86
5613,Pulses prices end steady in tight movements,"{""Pulses"": ""neutral""}",7,{'Pulses': 'neutral'},,[],0,Pulses prices end steady in tight movements,{'Pulses': 'neutral'},1,neutral,pulses prices end steady in tight movements
5642,Several small caps trading at eye-popping valuations,"{""small caps"": ""neutral""}",7,{'small caps': 'neutral'},,[],0,Several small caps trading at eye-popping valuations,{'small caps': 'neutral'},1,neutral,several small caps trading at eye-popping valuations
5695,Asian shares flat as investors digest Greek deal,"{""Asian shares"": ""neutral""}",8,{'Asian shares': 'neutral'},,[],0,Asian shares flat as investors digest Greek deal,{'Asian shares': 'neutral'},1,neutral,asian shares flat as investors digest greek deal
5741,Dry fruit prices rule steady in tight movements,"{""Dry fruit"": ""neutral""}",8,{'Dry fruit': 'neutral'},,[],0,Dry fruit prices rule steady in tight movements,{'Dry fruit': 'neutral'},1,neutral,dry fruit prices rule steady in tight movements
5746,Emerging stocks set for second week in red,"{""Emerging stocks"": ""negative""}",8,{'Emerging stocks': 'negative'},,[],0,Emerging stocks set for second week in red,{'Emerging stocks': 'negative'},1,negative,emerging stocks set for second week in red
5764,Flat Nifty OI data hints at trend reversal,"{""Nifty"": ""neutral""}",8,{'Nifty': 'neutral'},,[],0,Flat Nifty OI data hints at trend reversal,{'Nifty': 'neutral'},1,neutral,flat nifty oi data hints at trend reversal
5924,Stock-specific action likely; all eyes on Bank Nifty,"{""Bank Nifty"": ""neutral""}",8,{'Bank Nifty': 'neutral'},,[],0,Stock-specific action likely; all eyes on Bank Nifty,{'Bank Nifty': 'neutral'},1,neutral,stock-specific action likely; all eyes on bank nifty
6076,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery,"{""IDFC Mutual Fund"": ""neutral""}",9,{'IDFC Mutual Fund': 'neutral'},,[],0,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery,{'IDFC Mutual Fund': 'neutral'},1,neutral,kenneth andrade exits idfc mutual fund leaving investors jittery
6084,"March series may expire at 6,600-6,650: Vishal Kshatriya, Edelweiss","{""Edelweiss"": ""neutral""}",9,{'Edelweiss': 'neutral'},,[],0,"March series may expire at 6,600-6,650: Vishal Kshatriya, Edelweiss",{'Edelweiss': 'neutral'},1,neutral,"march series may expire at 6,600-6,650: vishal kshatriya, edelweiss"
6139,"PSUs languishing in valuations, but offer pockets of hope","{""PSUs"": ""neutral""}",9,{'PSUs': 'neutral'},,[],0,"PSUs languishing in valuations, but offer pockets of hope",{'PSUs': 'neutral'},1,neutral,"psus languishing in valuations, but offer pockets of hope"
6186,State government companies lure PFs with high-return bond issues,"{""State government companies"": ""neutral""}",9,{'State government companies': 'neutral'},,[],0,State government companies lure PFs with high-return bond issues,{'State government companies': 'neutral'},1,neutral,state government companies lure pfs with high-return bond issues
6224,Yes Bank wrangle may be solved out of court,"{""Yes Bank"": ""neutral""}",9,{'Yes Bank': 'neutral'},,[],0,Yes Bank wrangle may be solved out of court,{'Yes Bank': 'neutral'},1,neutral,yes bank wrangle may be solved out of court
6246,Carl Icahn says his firm sold remainder of Netflix stake,"{""Netflix"": ""neutral""}",10,{'Netflix': 'neutral'},,[],0,Carl Icahn says his firm sold remainder of Netflix stake,{'Netflix': 'neutral'},1,neutral,carl icahn says his firm sold remainder of netflix stake
6252,Cisco rejigs India operations; appoints Dinesh Malkani as President Sales,"{""Cisco"": ""neutral""}",10,{'Cisco': 'neutral'},,[],0,Cisco rejigs India operations; appoints Dinesh Malkani as President Sales,{'Cisco': 'neutral'},1,neutral,cisco rejigs india operations; appoints dinesh malkani as president sales
