raw_id,doc_id,text,group_key,num_aspects,label_signature,aspects
11,sentfin_000011,"EXL beats profit estimates, cuts sales outlook",exl beats profit estimates cuts sales outlook,1,positive,"[{'term': 'EXL', 'sentiment': 'positive', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
12,sentfin_000012,Wait and watch on Bharti Airtel: Vinay Khattar,wait and watch on bharti airtel vinay khattar,1,neutral,"[{'term': 'Bharti Airtel', 'sentiment': 'neutral', 'char_from': 18, 'char_to': 31, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
13,sentfin_000013,"Would stick to banking: Girish Pai, Centrum Broking",would stick to banking girish pai centrum broking,2,neutral+positive,"[{'term': 'Centrum Broking', 'sentiment': 'neutral', 'char_from': 36, 'char_to': 51, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'banking', 'sentiment': 'positive', 'char_from': 15, 'char_to': 22, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
14,sentfin_000014,MSCI adds Aurobindo Pharma to India index,msci adds aurobindo pharma to india index,3,neutral+positive,"[{'term': 'Aurobindo Pharma', 'sentiment': 'positive', 'char_from': 10, 'char_to': 26, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'India index', 'sentiment': 'neutral', 'char_from': 30, 'char_to': 41, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'MSCI', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
15,sentfin_000015,Ashok Leyland raises Rs 667 crore through QIP,ashok leyland raises rs 667 crore through qip,1,positive,"[{'term': 'Ashok Leyland', 'sentiment': 'positive', 'char_from': 0, 'char_to': 13, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
16,sentfin_000016,"At Wipro, growth remains a mirage",at wipro growth remains a mirage,1,negative,"[{'term': 'Wipro', 'sentiment': 'negative', 'char_from': 3, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
17,sentfin_000017,Why Chinese stocks leave US investors vulnerable,why chinese stocks leave us investors vulnerable,2,negative+neutral,"[{'term': 'Chinese stocks', 'sentiment': 'neutral', 'char_from': 4, 'char_to': 18, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'US', 'sentiment': 'negative', 'char_from': 25, 'char_to': 27, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
18,sentfin_000018,US stocks finish mixed amid more tech selling,us stocks finish mixed amid more tech selling,2,negative+neutral,"[{'term': 'US stocks', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 9, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'tech', 'sentiment': 'negative', 'char_from': 33, 'char_to': 37, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
19,sentfin_000019,Opec reduces estimate on oil demand growth,opec reduces estimate on oil demand growth,2,negative+neutral,"[{'term': 'Opec', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'oil', 'sentiment': 'negative', 'char_from': 25, 'char_to': 28, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
20,sentfin_000020,Oil prices mixed ahead of US supply report,oil prices mixed ahead of us supply report,1,neutral,"[{'term': 'Oil', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
21,sentfin_000021,Makemytrip expands share sale plan,makemytrip expands share sale plan,1,neutral,"[{'term': 'Makemytrip', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 10, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
22,sentfin_000022,Gur closes quiet on some support,gur closes quiet on some support,1,neutral,"[{'term': 'Gur', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
23,sentfin_000023,Gur closes steady on low demand,gur closes steady on low demand,1,neutral,"[{'term': 'Gur', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
24,sentfin_000024,Gur closes steady on thin trade,gur closes steady on thin trade,1,neutral,"[{'term': 'Gur', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
25,sentfin_000025,Gur remains flat in tight movements,gur remains flat in tight movements,1,neutral,"[{'term': 'Gur', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
26,sentfin_000026,Popularising G-Secs among retail investors,popularising gsecs among retail investors,1,neutral,"[{'term': 'G-Secs', 'sentiment': 'neutral', 'char_from': 13, 'char_to': 19, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
27,sentfin_000027,Gold trades nearly flat on dull demand,gold trades nearly flat on dull demand,1,neutral,"[{'term': 'Gold', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
28,sentfin_000028,ZEE announces closure of share buyback programme,zee announces closure of share buyback programme,1,neutral,"[{'term': 'ZEE', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
29,sentfin_000029,ZEE Q2 net at Rs 216.3 cr,zee q2 net at rs 2163 cr,1,neutral,"[{'term': 'ZEE', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
30,sentfin_000030,China to start yuan trading on Tuesday,china to start yuan trading on tuesday,1,neutral,"[{'term': 'yuan', 'sentiment': 'neutral', 'char_from': 15, 'char_to': 19, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
31,sentfin_000031,BSE inks strategic partnership with YES Bank,bse inks strategic partnership with yes bank,2,neutral,"[{'term': 'BSE', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'YES Bank', 'sentiment': 'neutral', 'char_from': 36, 'char_to': 44, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
32,sentfin_000032,Yes Bank launches Sovereign Gold Bond,yes bank launches sovereign gold bond,2,neutral,"[{'term': 'Gold Bond', 'sentiment': 'neutral', 'char_from': 28, 'char_to': 37, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'Yes Bank', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
33,sentfin_000033,"Yen firms in Asia on Iraq, Ukraine jitters",yen firms in asia on iraq ukraine jitters,1,positive,"[{'term': 'Yen', 'sentiment': 'positive', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
34,sentfin_000034,Billionaire's stake shakes Woolworth's buyout of David Jones,billionaires stake shakes woolworths buyout of david jones,2,neutral,"[{'term': 'David Jones', 'sentiment': 'neutral', 'char_from': 49, 'char_to': 60, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'Woolworth', 'sentiment': 'neutral', 'char_from': 27, 'char_to': 36, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
35,sentfin_000035,Wonderla Holidays IPO subscribed 42% on Day 1,wonderla holidays ipo subscribed 42 on day 1,1,neutral,"[{'term': 'Wonderla Holidays', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 17, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
36,sentfin_000036,Wonderla Holidays IPO subscribed 98% on second day,wonderla holidays ipo subscribed 98 on second day,1,neutral,"[{'term': 'Wonderla Holidays', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 17, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
37,sentfin_000037,WNS appoints Ronald Gillette as Chief Operating Officer,wns appoints ronald gillette as chief operating officer,1,neutral,"[{'term': 'WNS', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
38,sentfin_000038,Strong deals crucial for Wipro's growth push,strong deals crucial for wipros growth push,1,neutral,"[{'term': 'Wipro', 'sentiment': 'neutral', 'char_from': 25, 'char_to': 30, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
39,sentfin_000039,Ten key takeaways from Wipro Q1 results,ten key takeaways from wipro q1 results,1,neutral,"[{'term': 'Wipro', 'sentiment': 'neutral', 'char_from': 23, 'char_to': 28, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
40,sentfin_000040,Whirlpool may head to around 450-475: Devang Visaria,whirlpool may head to around 450475 devang visaria,1,neutral,"[{'term': 'Whirlpool', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 9, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
41,sentfin_000041,Western Coalfields CMD D C Garg passes away,western coalfields cmd d c garg passes away,1,neutral,"[{'term': 'Western Coalfields', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 18, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
42,sentfin_000042,VRL Logistics IPO grey market premium at 38%,vrl logistics ipo grey market premium at 38,1,neutral,"[{'term': 'VRL Logistics', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 13, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
43,sentfin_000043,"IPO after tax row is settled, says Vodafone",ipo after tax row is settled says vodafone,1,neutral,"[{'term': 'Vodafone', 'sentiment': 'neutral', 'char_from': 35, 'char_to': 43, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
44,sentfin_000044,Vodafone gets ready for IPO of Indian arm,vodafone gets ready for ipo of indian arm,1,neutral,"[{'term': 'Vodafone', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
45,sentfin_000045,VMware appoints Arun Parameswaran as India MD,vmware appoints arun parameswaran as india md,1,neutral,"[{'term': 'VMware', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 6, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
46,sentfin_000046,Videocon D2H likely to bring IPO this fiscal,videocon d2h likely to bring ipo this fiscal,1,neutral,"[{'term': 'Videocon D2H', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 12, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
47,sentfin_000047,Videocon appoints Sanjeev Bakshi as COO,videocon appoints sanjeev bakshi as coo,1,neutral,"[{'term': 'Videocon', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
48,sentfin_000048,Viber ups marketing efforts with CMO appointment,viber ups marketing efforts with cmo appointment,1,neutral,"[{'term': 'Viber', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 5, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
49,sentfin_000049,Verizon appoints Christopher Formant to head enterprise business,verizon appoints christopher formant to head enterprise business,1,neutral,"[{'term': 'Verizon', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 7, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
50,sentfin_000050,"Amidst commodity boom, vanilla remains plain vanilla",amidst commodity boom vanilla remains plain vanilla,1,neutral,"[{'term': 'vanilla', 'sentiment': 'neutral', 'char_from': None, 'char_to': None, 'match_status': 'review', 'match_type': 'whole_word_ambiguous'}]"
51,sentfin_000051,Universal Commodity Exchange goes live,universal commodity exchange goes live,1,neutral,"[{'term': 'Universal Commodity Exchange', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 28, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
52,sentfin_000052,United Spirits appoints Anand Kripalu as CEO,united spirits appoints anand kripalu as ceo,1,neutral,"[{'term': 'United Spirits', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 14, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
53,sentfin_000053,Promoters raise stake to 46.72 pc in Unitech,promoters raise stake to 4672 pc in unitech,1,neutral,"[{'term': 'Unitech', 'sentiment': 'neutral', 'char_from': 37, 'char_to': 44, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
54,sentfin_000054,Uninor appoints Grameenphone CTO as new India COO,uninor appoints grameenphone cto as new india coo,1,neutral,"[{'term': 'Uninor', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 6, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
55,sentfin_000055,TV Today Q2 profit at Rs 12.83 crore,tv today q2 profit at rs 1283 crore,1,neutral,"[{'term': 'TV Today', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
56,sentfin_000056,Tokyo stocks flat by the break,tokyo stocks flat by the break,1,neutral,"[{'term': 'Tokyo stocks', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 12, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
57,sentfin_000057,Adi Rajaram appointed TNIIC chairman,adi rajaram appointed tniic chairman,1,neutral,"[{'term': 'TNIIC', 'sentiment': 'neutral', 'char_from': 22, 'char_to': 27, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
58,sentfin_000058,4200 is key level for Titan: Ashwani Gujral,4200 is key level for titan ashwani gujral,1,neutral,"[{'term': 'Titan', 'sentiment': 'neutral', 'char_from': 22, 'char_to': 27, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
59,sentfin_000059,Kapil Kapoor is global COO of Timex Group,kapil kapoor is global coo of timex group,1,neutral,"[{'term': 'Timex Group', 'sentiment': 'neutral', 'char_from': 30, 'char_to': 41, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
60,sentfin_000060,TIL Limited can open-up for Rs 900-1200: Ventura,til limited can openup for rs 9001200 ventura,1,neutral,"[{'term': 'TIL Limited', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 11, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
61,sentfin_000061,Thyrocare Technologies Limited files draft IPO papers,thyrocare technologies limited files draft ipo papers,1,neutral,"[{'term': 'Thyrocare Technologies Limited', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 30, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
62,sentfin_000062,Thejo Engineering announces 1:1 maiden bonus,thejo engineering announces 11 maiden bonus,1,neutral,"[{'term': 'Thejo Engineering', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 17, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
63,sentfin_000063,Neutral on telecom: Ramanathan K,neutral on telecom ramanathan k,1,neutral,"[{'term': 'telecom', 'sentiment': 'neutral', 'char_from': 11, 'char_to': 18, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
64,sentfin_000064,Technofab Engg fix IPO rate at Rs 230-240,technofab engg fix ipo rate at rs 230240,1,neutral,"[{'term': 'Technofab Engg', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 14, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
65,sentfin_000065,Tata Sons names Gopichand Katragadda chief technology officer,tata sons names gopichand katragadda chief technology officer,1,neutral,"[{'term': 'Tata Sons', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 9, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
66,sentfin_000066,Tata Motors appoints Gajendra Chandel as CHRO,tata motors appoints gajendra chandel as chro,1,neutral,"[{'term': 'Tata Motors', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 11, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
67,sentfin_000067,Kalyanasundaram resigns as Independent Director of Tata Communications,kalyanasundaram resigns as independent director of tata communications,1,neutral,"[{'term': 'Tata Communications', 'sentiment': 'neutral', 'char_from': 51, 'char_to': 70, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
68,sentfin_000068,Talwalkars can retest 133-140 levels: Ashwani Gujral,talwalkars can retest 133140 levels ashwani gujral,1,neutral,"[{'term': 'Talwalkars', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 10, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
69,sentfin_000069,Suzlon board approves cashless restructuring of FCCBs,suzlon board approves cashless restructuring of fccbs,1,neutral,"[{'term': 'Suzlon', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 6, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
70,sentfin_000070,Sunteck Realty: Building a solid foundation,sunteck realty building a solid foundation,1,neutral,"[{'term': 'Sunteck Realty', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 14, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
71,sentfin_000071,Harsha Viji is deputy MD of Sundaram MF,harsha viji is deputy md of sundaram mf,1,neutral,"[{'term': 'Sundaram MF', 'sentiment': 'neutral', 'char_from': 28, 'char_to': 39, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
72,sentfin_000072,Sugar closes steady on sporadic buying,sugar closes steady on sporadic buying,1,neutral,"[{'term': 'Sugar', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 5, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
73,sentfin_000073,Sugar ends steady in thin trade,sugar ends steady in thin trade,1,neutral,"[{'term': 'Sugar', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 5, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
74,sentfin_000074,Sugar settles steady on little doing,sugar settles steady on little doing,1,neutral,"[{'term': 'Sugar', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 5, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
75,sentfin_000075,Sugar ends quiet amid sufficient stock positions,sugar ends quiet amid sufficient stock positions,1,neutral,"[{'term': 'Sugar', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 5, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
76,sentfin_000076,India produces 14.3 million tonne sugar till mid-February,india produces 143 million tonne sugar till midfebruary,1,neutral,"[{'term': 'sugar', 'sentiment': 'neutral', 'char_from': 34, 'char_to': 39, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
77,sentfin_000077,Sterling steadies after Scottish referendum debate wobble,sterling steadies after scottish referendum debate wobble,1,neutral,"[{'term': 'Sterling', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
78,sentfin_000078,UK data gives battered sterling some respite,uk data gives battered sterling some respite,1,neutral,"[{'term': 'sterling', 'sentiment': 'neutral', 'char_from': 23, 'char_to': 31, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
79,sentfin_000079,Red-hot sterling cools a touch after PMI numbers,redhot sterling cools a touch after pmi numbers,1,neutral,"[{'term': 'sterling', 'sentiment': 'neutral', 'char_from': 8, 'char_to': 16, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
80,sentfin_000080,Steel prices end steady in thin trade,steel prices end steady in thin trade,1,neutral,"[{'term': 'Steel', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 5, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
81,sentfin_000081,Tight movement in steel prices in thin trade,tight movement in steel prices in thin trade,1,neutral,"[{'term': 'steel', 'sentiment': 'neutral', 'char_from': 18, 'char_to': 23, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
82,sentfin_000082,Spices hold steady in mute trade,spices hold steady in mute trade,1,neutral,"[{'term': 'Spices', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 6, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
83,sentfin_000083,SpiceJet makes top-level changes,spicejet makes toplevel changes,1,neutral,"[{'term': 'SpiceJet', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
84,sentfin_000084,Spicejet seeks shareholders' nod to hike promoters holding,spicejet seeks shareholders nod to hike promoters holding,1,neutral,"[{'term': 'Spicejet', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 8, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
85,sentfin_000085,Several small caps trading at eye-popping valuations,several small caps trading at eyepopping valuations,1,neutral,"[{'term': 'small caps', 'sentiment': 'neutral', 'char_from': 8, 'char_to': 18, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
86,sentfin_000086,Sistema on way to market,sistema on way to market,1,neutral,"[{'term': 'Sistema', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 7, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
87,sentfin_000087,Shoppers Stop elevates Salil Nair to CEO,shoppers stop elevates salil nair to ceo,1,neutral,"[{'term': 'Shoppers Stop', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 13, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
88,sentfin_000088,Neutral on Shiva Cement: Seshadri Bharathan,neutral on shiva cement seshadri bharathan,1,neutral,"[{'term': 'Shiva Cement', 'sentiment': 'neutral', 'char_from': 11, 'char_to': 23, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
89,sentfin_000089,How will Shell-BG deal impact global energy market,how will shellbg deal impact global energy market,2,neutral,"[{'term': 'Shell-BG', 'sentiment': 'neutral', 'char_from': 9, 'char_to': 17, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'energy market', 'sentiment': 'neutral', 'char_from': 37, 'char_to': 50, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
90,sentfin_000090,SGX's India office to woo fund raising corporations,sgxs india office to woo fund raising corporations,1,neutral,"[{'term': 'SGX', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
91,sentfin_000091,Prasun Kumar Mukherjee quits Sesa Sterlite,prasun kumar mukherjee quits sesa sterlite,1,neutral,"[{'term': 'Sesa Sterlite', 'sentiment': 'neutral', 'char_from': 29, 'char_to': 42, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
92,sentfin_000092,Which Sensex stocks should you bet on?,which sensex stocks should you bet on,1,neutral,"[{'term': 'Sensex stocks', 'sentiment': 'neutral', 'char_from': 6, 'char_to': 19, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
93,sentfin_000093,Sensex rangebound; top 20 intraday trading ideas,sensex rangebound top 20 intraday trading ideas,1,neutral,"[{'term': 'Sensex', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 6, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
94,sentfin_000094,SEC director with big stock holdings stirs debate,sec director with big stock holdings stirs debate,1,neutral,"[{'term': 'SEC', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 3, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
95,sentfin_000095,Sebi partially lifts curbs on Shantivijay Jewels,sebi partially lifts curbs on shantivijay jewels,2,neutral,"[{'term': 'Sebi', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'Shantivijay Jewels', 'sentiment': 'neutral', 'char_from': 30, 'char_to': 48, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
96,sentfin_000096,Sebi seeks clarification on RINL IPO,sebi seeks clarification on rinl ipo,2,neutral,"[{'term': 'RINL', 'sentiment': 'neutral', 'char_from': 28, 'char_to': 32, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'Sebi', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
97,sentfin_000097,"Sebi attaches accounts of former Ranbaxy director, wife",sebi attaches accounts of former ranbaxy director wife,2,neutral,"[{'term': 'Ranbaxy', 'sentiment': 'neutral', 'char_from': 33, 'char_to': 40, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'Sebi', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
98,sentfin_000098,Maruti-Suzuki deal: Institutional investors approach Sebi,marutisuzuki deal institutional investors approach sebi,2,neutral,"[{'term': 'Maruti-Suzuki', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 13, 'match_status': 'matched', 'match_type': 'whole_word_unique'}, {'term': 'Sebi', 'sentiment': 'neutral', 'char_from': 53, 'char_to': 57, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
99,sentfin_000099,Sebi notifies new ESOP regulations,sebi notifies new esop regulations,1,neutral,"[{'term': 'Sebi', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
100,sentfin_000100,Sebi revamps securitisation trustee norms,sebi revamps securitisation trustee norms,1,neutral,"[{'term': 'Sebi', 'sentiment': 'neutral', 'char_from': 0, 'char_to': 4, 'match_status': 'matched', 'match_type': 'whole_word_unique'}]"
